"Year Pair","Percentage Difference"
"4893186-736990","-84.94%"
"736990-7174064","873.43%"
"7174064-3011873","-58.02%"
"3011873-39346023","1206.36%"
"39346023-5684926","-85.55%"
"5684926-3570549","-37.19%"
"3570549-967679","-72.9%"
"967679-701974","-27.46%"
"701974-21216924","2922.47%"
"21216924-10516579","-50.43%"
"10516579-1420074","-86.5%"
"1420074-1754367","23.54%"
"1754367-12716164","624.83%"
"12716164-6696893","-47.34%"
"6696893-3150011","-52.96%"
"3150011-2912619","-7.54%"
"2912619-4461952","53.19%"
"4461952-4664616","4.54%"
"4664616-1340825","-71.26%"
"1340825-6037624","350.29%"
"6037624-6873003","13.84%"
"6873003-9973907","45.12%"
"9973907-5600166","-43.85%"
"5600166-2981835","-46.75%"
"2981835-6124160","105.38%"
"6124160-1061705","-82.66%"
"1061705-1923826","81.2%"
"1923826-3030281","57.51%"
"3030281-1355244","-55.28%"
"1355244-8885418","555.63%"
"8885418-2097021","-76.4%"
"2097021-19514849","830.6%"
"19514849-10386227","-46.78%"
"10386227-760394","-92.68%"
"760394-11675275","1435.42%"
"11675275-3949342","-66.17%"
"3949342-4176346","5.75%"
"4176346-12794885","206.37%"
"12794885-1057798","-91.73%"
"1057798-5091517","381.33%"
"5091517-879336","-82.73%"
"879336-6772268","670.16%"
"6772268-28635442","322.83%"
"28635442-3151239","-89%"
"3151239-624340","-80.19%"
"624340-8509358","1262.94%"
"8509358-7512465","-11.72%"
"7512465-1807426","-75.94%"
"1807426-5806975","221.28%"
"5806975-581348","-89.99%"
"581348-3255642","460.02%"
"3255642-4876250","49.78%"
"4876250-737068","-84.88%"
"737068-7050299","856.53%"
"7050299-2999370","-57.46%"
"2999370-39283497","1209.72%"
"39283497-5610349","-85.72%"
"5610349-3575074","-36.28%"
"3575074-957248","-73.22%"
"957248-692683","-27.64%"
"692683-20901636","2917.49%"
"20901636-10403847","-50.22%"
"10403847-1422094","-86.33%"
"1422094-1717750","20.79%"
"1717750-12770631","643.45%"
"12770631-6665703","-47.8%"
"6665703-3139508","-52.9%"
"3139508-2910652","-7.29%"
"2910652-4449052","52.85%"
"4449052-4664362","4.84%"
"4664362-1335492","-71.37%"
"1335492-6018848","350.68%"
"6018848-6850553","13.82%"
"6850553-9965265","45.47%"
"9965265-5563378","-44.17%"
"5563378-2984418","-46.36%"
"2984418-6104910","104.56%"
"6104910-1050649","-82.79%"
"1050649-1914571","82.23%"
"1914571-2972382","55.25%"
"2972382-1348124","-54.64%"
"1348124-8878503","558.58%"
"8878503-2092454","-76.43%"
"2092454-19572319","835.38%"
"19572319-10264876","-47.55%"
"10264876-756717","-92.63%"
"756717-11655397","1440.26%"
"11655397-3932870","-66.26%"
"3932870-4129803","5.01%"
"4129803-12791530","209.74%"
"12791530-1057231","-91.73%"
"1057231-5020806","374.9%"
"5020806-870638","-82.66%"
"870638-6709356","670.63%"
"6709356-28260856","321.22%"
"28260856-3096848","-89.04%"
"3096848-624313","-79.84%"
"624313-8454463","1254.2%"
"8454463-7404107","-12.42%"
"7404107-1817305","-75.46%"
"1817305-5790716","218.64%"
"5790716-581024","-89.97%"
"581024-3318447","471.14%"
"3318447-4864680","46.6%"
"4864680-738516","-84.82%"
"738516-6946685","840.63%"
"6946685-2990671","-56.95%"
"2990671-39148760","1209.03%"
"39148760-5531141","-85.87%"
"5531141-3581504","-35.25%"
"3581504-949495","-73.49%"
"949495-684498","-27.91%"
"684498-20598139","2909.23%"
"20598139-10297484","-50.01%"
"10297484-1422029","-86.19%"
"1422029-1687809","18.69%"
"1687809-12821497","659.65%"
"12821497-6637426","-48.23%"
"6637426-3132499","-52.81%"
"3132499-2908776","-7.14%"
"2908776-4440204","52.65%"
"4440204-4663616","5.03%"
"4663616-1332813","-71.42%"
"1332813-6003435","350.43%"
"6003435-6830193","13.77%"
"6830193-9957488","45.79%"
"9957488-5527358","-44.49%"
"5527358-2988762","-45.93%"
"2988762-6090062","103.77%"
"6090062-1041732","-82.89%"
"1041732-1904760","82.85%"
"1904760-2922849","53.45%"
"2922849-1343622","-54.03%"
"1343622-8881845","561.04%"
"8881845-2092434","-76.44%"
"2092434-19618453","837.59%"
"19618453-10155624","-48.23%"
"10155624-752201","-92.59%"
"752201-11641879","1447.71%"
"11641879-3918137","-66.34%"
"3918137-4081943","4.18%"
"4081943-12791181","213.36%"
"12791181-1056611","-91.74%"
"1056611-4955925","369.04%"
"4955925-864289","-82.56%"
"864289-6651089","669.54%"
"6651089-27885195","319.26%"
"27885195-3045350","-89.08%"
"3045350-624977","-79.48%"
"624977-8413774","1246.25%"
"8413774-7294336","-13.3%"
"7294336-1829054","-74.93%"
"1829054-5778394","215.92%"
"5778394-581836","-89.93%"
"581836-3386941","482.11%"
"3386941-4850771","43.22%"
"4850771-738565","-84.77%"
"738565-6809946","822.05%"
"6809946-2977944","-56.27%"
"2977944-38982847","1209.05%"
"38982847-5436519","-86.05%"
"5436519-3594478","-33.88%"
"3594478-943732","-73.74%"
"943732-672391","-28.75%"
"672391-20278447","2915.87%"
"20278447-10201635","-49.69%"
"10201635-1421658","-86.06%"
"1421658-1657375","16.58%"
"1657375-12854526","675.6%"
"12854526-6614418","-48.54%"
"6614418-3118102","-52.86%"
"3118102-2903820","-6.87%"
"2903820-4424376","52.36%"
"4424376-4663461","5.4%"
"4663461-1330158","-71.48%"
"1330158-5996079","350.78%"
"5996079-6789319","13.23%"
"6789319-9925568","46.19%"
"9925568-5490726","-44.68%"
"5490726-2986220","-45.61%"
"2986220-6075300","103.44%"
"6075300-1029862","-83.05%"
"1029862-1893921","83.9%"
"1893921-2887725","52.47%"
"2887725-1331848","-53.88%"
"1331848-8960161","572.76%"
"8960161-2084828","-76.73%"
"2084828-19798228","849.63%"
"19798228-10052564","-49.22%"
"10052564-745475","-92.58%"
"745475-11609756","1457.36%"
"11609756-3896251","-66.44%"
"3896251-4025127","3.31%"
"4025127-12790505","217.77%"
"12790505-1056138","-91.74%"
"1056138-4893444","363.33%"
"4893444-855444","-82.52%"
"855444-6597381","671.22%"
"6597381-27419612","315.61%"
"27419612-2993941","-89.08%"
"2993941-624636","-79.14%"
"624636-8365952","1239.33%"
"8365952-7169967","-14.3%"
"7169967-1836843","-74.38%"
"1836843-5763217","213.76%"
"5763217-583200","-89.88%"
"583200-3468963","494.82%"
"3468963-4841164","39.56%"
"4841164-736855","-84.78%"
"736855-6728577","813.15%"
"6728577-2968472","-55.88%"
"2968472-38654206","1202.16%"
"38654206-5359295","-86.14%"
"5359295-3588570","-33.04%"
"3588570-934695","-73.95%"
"934695-659009","-29.49%"
"659009-19934451","2924.91%"
