State	Year	Population	Year Pair	Percentage Difference
Alabama	2020	4893186	4893186-736990	-84.94%
Alaska	2020	736990	736990-7174064	873.43%
Arizona	2020	7174064	7174064-3011873	-58.02%
Arkansas	2020	3011873	3011873-39346023	1206.36%
California	2020	39346023	39346023-5684926	-85.55%
Colorado	2020	5684926	5684926-3570549	-37.19%
Connecticut	2020	3570549	3570549-967679	-72.90%
Delaware	2020	967679	967679-701974	-27.46%
District of Columbia	2020	701974	701974-21216924	2922.47%
Florida	2020	21216924	21216924-10516579	-50.43%
Georgia	2020	10516579	10516579-1420074	-86.50%
Hawaii	2020	1420074	1420074-1754367	23.54%
Idaho	2020	1754367	1754367-12716164	624.83%
Illinois	2020	12716164	12716164-6696893	-47.34%
Indiana	2020	6696893	6696893-3150011	-52.96%
Iowa	2020	3150011	3150011-2912619	-7.54%
Kansas	2020	2912619	2912619-4461952	53.19%
Kentucky	2020	4461952	4461952-4664616	4.54%
Louisiana	2020	4664616	4664616-1340825	-71.26%
Maine	2020	1340825	1340825-6037624	350.29%
Maryland	2020	6037624	6037624-6873003	13.84%
Massachusetts	2020	6873003	6873003-9973907	45.12%
Michigan	2020	9973907	9973907-5600166	-43.85%
Minnesota	2020	5600166	5600166-2981835	-46.75%
Mississippi	2020	2981835	2981835-6124160	105.38%
Missouri	2020	6124160	6124160-1061705	-82.66%
Montana	2020	1061705	1061705-1923826	81.20%
Nebraska	2020	1923826	1923826-3030281	57.51%
Nevada	2020	3030281	3030281-1355244	-55.28%
New Hampshire	2020	1355244	1355244-8885418	555.63%
New Jersey	2020	8885418	8885418-2097021	-76.40%
New Mexico	2020	2097021	2097021-19514849	830.60%
New York	2020	19514849	19514849-10386227	-46.78%
North Carolina	2020	10386227	10386227-760394	-92.68%
North Dakota	2020	760394	760394-11675275	1435.42%
Ohio	2020	11675275	11675275-3949342	-66.17%
Oklahoma	2020	3949342	3949342-4176346	5.75%
Oregon	2020	4176346	4176346-12794885	206.37%
Pennsylvania	2020	12794885	12794885-1057798	-91.73%
Rhode Island	2020	1057798	1057798-5091517	381.33%
South Carolina	2020	5091517	5091517-879336	-82.73%
South Dakota	2020	879336	879336-6772268	670.16%
Tennessee	2020	6772268	6772268-28635442	322.83%
Texas	2020	28635442	28635442-3151239	-89%
Utah	2020	3151239	3151239-624340	-80.19%
Vermont	2020	624340	624340-8509358	1262.94%
Virginia	2020	8509358	8509358-7512465	-11.72%
Washington	2020	7512465	7512465-1807426	-75.94%
West Virginia	2020	1807426	1807426-5806975	221.28%
Wisconsin	2020	5806975	5806975-581348	-89.99%
Wyoming	2020	581348	581348-3255642	460.02%
Puerto Rico	2020	3255642	3255642-4876250	49.78%
Alabama	2019	4876250	4876250-737068	-84.88%
Alaska	2019	737068	737068-7050299	856.53%
Arizona	2019	7050299	7050299-2999370	-57.46%
Arkansas	2019	2999370	2999370-39283497	1209.72%
California	2019	39283497	39283497-5610349	-85.72%
Colorado	2019	5610349	5610349-3575074	-36.28%
Connecticut	2019	3575074	3575074-957248	-73.22%
Delaware	2019	957248	957248-692683	-27.64%
District of Columbia	2019	692683	692683-20901636	2917.49%
Florida	2019	20901636	20901636-10403847	-50.22%
Georgia	2019	10403847	10403847-1422094	-86.33%
Hawaii	2019	1422094	1422094-1717750	20.79%
Idaho	2019	1717750	1717750-12770631	643.45%
Illinois	2019	12770631	12770631-6665703	-47.80%
Indiana	2019	6665703	6665703-3139508	-52.90%
Iowa	2019	3139508	3139508-2910652	-7.29%
Kansas	2019	2910652	2910652-4449052	52.85%
Kentucky	2019	4449052	4449052-4664362	4.84%
Louisiana	2019	4664362	4664362-1335492	-71.37%
Maine	2019	1335492	1335492-6018848	350.68%
Maryland	2019	6018848	6018848-6850553	13.82%
Massachusetts	2019	6850553	6850553-9965265	45.47%
Michigan	2019	9965265	9965265-5563378	-44.17%
Minnesota	2019	5563378	5563378-2984418	-46.36%
Mississippi	2019	2984418	2984418-6104910	104.56%
Missouri	2019	6104910	6104910-1050649	-82.79%
Montana	2019	1050649	1050649-1914571	82.23%
Nebraska	2019	1914571	1914571-2972382	55.25%
Nevada	2019	2972382	2972382-1348124	-54.64%
New Hampshire	2019	1348124	1348124-8878503	558.58%
New Jersey	2019	8878503	8878503-2092454	-76.43%
New Mexico	2019	2092454	2092454-19572319	835.38%
New York	2019	19572319	19572319-10264876	-47.55%
North Carolina	2019	10264876	10264876-756717	-92.63%
North Dakota	2019	756717	756717-11655397	1440.26%
Ohio	2019	11655397	11655397-3932870	-66.26%
Oklahoma	2019	3932870	3932870-4129803	5.01%
Oregon	2019	4129803	4129803-12791530	209.74%
Pennsylvania	2019	12791530	12791530-1057231	-91.73%
Rhode Island	2019	1057231	1057231-5020806	374.90%
South Carolina	2019	5020806	5020806-870638	-82.66%
South Dakota	2019	870638	870638-6709356	670.63%
Tennessee	2019	6709356	6709356-28260856	321.22%
Texas	2019	28260856	28260856-3096848	-89.04%
Utah	2019	3096848	3096848-624313	-79.84%
Vermont	2019	624313	624313-8454463	1254.20%
Virginia	2019	8454463	8454463-7404107	-12.42%
Washington	2019	7404107	7404107-1817305	-75.46%
West Virginia	2019	1817305	1817305-5790716	218.64%
Wisconsin	2019	5790716	5790716-581024	-89.97%
Wyoming	2019	581024	581024-3318447	471.14%
Puerto Rico	2019	3318447	3318447-4864680	46.60%
Alabama	2018	4864680	4864680-738516	-84.82%
Alaska	2018	738516	738516-6946685	840.63%
Arizona	2018	6946685	6946685-2990671	-56.95%
Arkansas	2018	2990671	2990671-39148760	1209.03%
California	2018	39148760	39148760-5531141	-85.87%
Colorado	2018	5531141	5531141-3581504	-35.25%
Connecticut	2018	3581504	3581504-949495	-73.49%
Delaware	2018	949495	949495-684498	-27.91%
District of Columbia	2018	684498	684498-20598139	2909.23%
Florida	2018	20598139	20598139-10297484	-50.01%
Georgia	2018	10297484	10297484-1422029	-86.19%
Hawaii	2018	1422029	1422029-1687809	18.69%
Idaho	2018	1687809	1687809-12821497	659.65%
Illinois	2018	12821497	12821497-6637426	-48.23%
Indiana	2018	6637426	6637426-3132499	-52.81%
Iowa	2018	3132499	3132499-2908776	-7.14%
Kansas	2018	2908776	2908776-4440204	52.65%
Kentucky	2018	4440204	4440204-4663616	5.03%
Louisiana	2018	4663616	4663616-1332813	-71.42%
Maine	2018	1332813	1332813-6003435	350.43%
Maryland	2018	6003435	6003435-6830193	13.77%
Massachusetts	2018	6830193	6830193-9957488	45.79%
Michigan	2018	9957488	9957488-5527358	-44.49%
Minnesota	2018	5527358	5527358-2988762	-45.93%
Mississippi	2018	2988762	2988762-6090062	103.77%
Missouri	2018	6090062	6090062-1041732	-82.89%
Montana	2018	1041732	1041732-1904760	82.85%
Nebraska	2018	1904760	1904760-2922849	53.45%
Nevada	2018	2922849	2922849-1343622	-54.03%
New Hampshire	2018	1343622	1343622-8881845	561.04%
New Jersey	2018	8881845	8881845-2092434	-76.44%
New Mexico	2018	2092434	2092434-19618453	837.59%
New York	2018	19618453	19618453-10155624	-48.23%
North Carolina	2018	10155624	10155624-752201	-92.59%
North Dakota	2018	752201	752201-11641879	1447.71%
Ohio	2018	11641879	11641879-3918137	-66.34%
Oklahoma	2018	3918137	3918137-4081943	4.18%
Oregon	2018	4081943	4081943-12791181	213.36%
Pennsylvania	2018	12791181	12791181-1056611	-91.74%
Rhode Island	2018	1056611	1056611-4955925	369.04%
South Carolina	2018	4955925	4955925-864289	-82.56%
South Dakota	2018	864289	864289-6651089	669.54%
